	reply_text
160	i knw u wld say tat...!! just becoz sum radicalised idiots are dng this doesnt mean tat we can blame d entire religion fr it..
161	they may not be radicalised. This is only what you are fed by media which governments control you need to open your mind to truth
162	then educate me..???
163	easily. Don't go to war in other country's and think it won't come home to you. Police shot person in America with hands up.
164	i wnt blame u fr saying this..bt u forgot hw many ppl's lives are being saved by these men...!!!
165	America BRITTIAN had supplied these men in Syria with the weapons to start with and now they are bombing them. Hmmmm hypocrisy
166	police is quite lazy.
167	MT shots fired at sites National War Memorial, Parliament Hill, and now Rideau shopping centre
168	what's happening in this world and why this so much haterage everywhere. So sickening
169	
170	oh god.
171	{Heaven and Hell is right here on earth... 'ing}
172	Scary stuff in Ottawa
173	And at a hotel too.
174	muslim terrorists
175	at sites -National War Memorial, Parliament Hill, and Rideau shopping centre
176	Shit...
177	Yes, I can't believe this is happening...
178	We always feel the same over here when similar happens. Hope its all over.soon.
179	One shooter is dead. Shot by the Sargent at Arms.
180	BBC saying indications of more than one gunman.
181	Yes, Still looking for the others.
182	Kindly verify your report of shooting at Rideau Centre Ottawa, Canada. Local reports state otherwise.
183	sad world we live in most of the time.
184	Disgusting desert pigs. Why the peaceful, polite Canadians?
185	"we are just ""crew"" to you??? Four flight attendants &amp; two pilots all with families &amp; friends. WE COUNT, TOO!"
186	so we still not sure of the motivation for the attack?
187	doing what their man made twisted fairy tale tells them to do.
188	I hope everyone gets out safely.
189	but its such a peaceful religion /s
190	"""islamic flag"""
191	"Yes ""Islamic"" flag. Black a traditional colour of Islam and I presume a Koranic verse also."
192	Green is the traditional colour. Presumptions are worthless
193	"Read the tweet again ""a"" as is green, red .. Are you saying the text is not presumably Koranic?"
194	cant read arabic it could be anything More informed people tell me its a shadah flag which is generic
195	ah I see. The Shahadah having nothing to do with the Koran. Got you.
196	shahada flag is a generic flag, not unique to any group. ISIS use a different flag
197	"Who typed ""ISIS""? Islamic flag was used in the original tweet."
198	almost every media outlet for the first minutes until people remembered how google works
199	So just generic islamic terrorists.. that's a relief
200	Possibly, yes. And if so, yes would suggest less chance of a larger group.
201	Get the snipers out and exterminate
202	"WTF. "": Black Islamic flag being held up in window of store in Martin Place- hostages inside. ”"
203	
204	hmm
205	". Hopefully ""neutralized""!"
206	hopefully the terrorist got a bullet to his hand.
207	hallelujah, enjoy the virgins
208	good thats a start
209	“: AFP: suspected gunmen have been killed”
210	"Got the bastards! "": AFP: suspected gunmen have been killed”"
211	good
212	go on shoot em again just to make sure
213	stick em full of pencils.
214	and shove a copy of up their ass
215	then send them to the countries the supported as a sign. We are not backing down
216	"that's a good idea, just attach a note saying "" I think this is your shit have it back"""
217	wonder if get the impression we are sick of these extremists and how the government just let them in
218	it could never happen here, we don't have a paper with enough balls to publish anything that offends Muslims
219	true. Perhaps they should all grow some
220	sod watching them and then them escaping being watched. If they support terrorism. .send them out of our country
221	Great outcome. All murderers dead. All hostages freed. Great job by French police
222	like a Bogo',' and done
223	“: AFP: suspected gunmen have been killed” &lt;&lt;&lt;Was inevitable
224	“: AFP: suspected gunmen have been killed” BANG BANG NIGGA
225	“: AFP: suspected gunmen have been killed” Hoping that this is now the end
226	it will never be the end
227	“: AFP: suspected gunmen have been killed” yayyy
228	“: AFP: suspected gunmen have been killed” vive la France
229	Hmm. That's not what I heard at all. What's your source and quote?
230	But... There was something leading up to the shooting? Or what?
231	“: But... There was something leading up to the shooting? Or what?”-&gt; soon they'll say officer felt a gun onMike
232	Walking in the street while
233	no they did not
234	Wrong. The violent assault committed makes it more likely he attacked the cops minutes later.
235	if he was not a suspect why was inside the police car in the first place? Or was he ever near the police car?
236	MT : BREAKING: Shots fired, hostages taken in hunt for attackers
237	they were well known by the French/ why didn't they do anything??? then
238	Your article says the suspects, but then states it is a fact that they were the attackers.
239	they die in slut pink ass those white French, they disgusting why they slut pig die,i myself became more poor inside Paris no phone
240	Hi, is this your image and if so, can we use on pls? we will give a photo credit. Thanks
241	They're a pretty tame looking group compared to our police.
242	These thugs r so cowardly they attack a mag now HIDE behind innocent people
243	
244	Makes them look inept as well.
245	I bet if Michael Brown had his druthers, he’d rather have his name dragged thru the mud than his life snuffed out.
246	The first goal is to get a conviction so he can never be a cop again.
247	SAY IT AGAIN!!!! oh nevermind, I can just RT it
248	damn surveillance video We give up a name, we drag his thru the mud.
249	People may not like it. but it's devastating for prosecuting the cop. If true, can be argued Brown thought the cop was after him .
250	Since they want to label as a shoplifter, since when is that crime punishable by DEATH?
251	Not sure 'shoot first &amp; uncover potential crime later' is viable policy outside the fevered mind of a conservative
252	Early reports said the store had not reported a robbery?? The people in the store don't look alarmed.
253	The point is, the cop didn't know about a robbery. He executed a jaywalker resisting being detained
254	EXACTLY!! Since when is jaywalking punishable by DEATH?
255	From what I saw it was nothing but a petty theft. Let the RT Wing tell it, he went in with a GLOCK
256	"AMEN to that!! They would say ""LOOK! HE PUSHED THAT STORE CLERK!!.. is that punishable by DEATH?"
257	Prosecution screwed up the Martin/Zimmerman case by over-charging and if emotions guide, over charging will let this cop walk too.
258	I would rather be a than being a Now
259	“: Hostages in Sydney cafe made to hold up Islamic flags ” Religion is a good thing in small doses!
260	kill all kill them all kill their families and kill all their love ones make them feel the pain
261	Hillary Clinton would want us to empathize with them and figure out why they're so peevish.
262	we can send hillary to talk to death ISIS and watch ISIS riddle her body with bullets and chop her head off
263	That might be a bit much, no?
264	nope. People like her and obama have weakened this country with weak ass foreign policy and made all of us targets
265	THIS IS THE GUY WHO SUED THE CITY OF SYDNEY AUS FOR BUILDING THE SIDEWALKS TO CLOSE TO HIS SHOULDER name MIDGET AHSEEEUM HES COMMMIN
266	don't they have strict gun laws in Australia? I see that's working well.
267	Obama JV team making noise? What's up with that Barry?
268	proves islam is scary
269	Hostages in Sydney cafe made to hold up Islamic flags
270	lets talk to them in hushed tones
271	The Islamic Volcano promised by al-Baghdadi has erupted.
272	Pigs
273	RIP some actions are beyond comprehension. Sadly the dead most likely had nothing to do with the anger &amp; twisted mind of the gunmen.
274	Our prayers goes out to good people of France at this moment. Violence, hatred &amp; injustice have no place on our world...
275	More madness - tragic: “: At least dead in the Paris shooting. ”
276	That is what you get when you do not profile, when you pretend Islam is even remotely normal; when u are just plain stupid. WAKE UP.
277	I did not think the French knew what a gun was or how to use one. There arms eertise was on par with the Italians-eerts at dropping
278	"I just feel sick RT"": At least dead in Paris shooting. Updated story: ”"
279	omg!!!
280	Islam. That's the only story and background info you need. Islam.
281	History shows disproportionate share of major religions starting in Middle East. That indicates people with no sense of humor.Stay out
282	The Liberal leftist should be feeling as good as DeBlasio today over this.
283	elPresidente is probably gonna recognize ISIS now.
284	Awful. RT : At least dead in the Paris shooting.
285	
286	France as we know, the country which easily accept Moslem immigrant,
287	I condemn this cowardly attack carried out, attacking the hands are broken; asshole and ...
288	And suggests that Muslims are unfairly picked upon because of bad economy in EU ? Liberal insanity its worst
289	“: At least dead in the Paris shooting. Updated story and background info:
290	Gunfire inside Canadian parliament; soldier shot at National War Memorial in Ottawa
291	Our thoughts to all those in Ottawa “: Soldier shot at National War Memorial in Ottawa ”
292	Soldier shot at National War Memorial in
293	Time to get snipers out on the roofs. Take him out, no talking!!!
294	“: At least killed in today's attack on satirical magazine in Paris, official says. ”
295	it was time . Cause no respect for any religion. If talk about Jews . It's anti semite. If abuse Islam freedom of religion Deserve
296	dif between satire &amp; hatred. No Islamic sense of humor. Jihadists don't know what free speech means
297	what freedom when you abuse a religion. These guys are freedom fighters for protecting Islam. Why no law protect religio
298	freedom fighters?? Fighting AGAINST everyone else's freedom. Go away
299	Jews don't kill anyone if offended. Christians don't. Only these disgusting excuses for human beings. It's a CARTOON!
300	u go to jail for anti semite. Law. U can abuse any religion it's called freedom of speech. Be fair. It's hurtful
301	anti semitism, inciting hatred is VERY dif than satire&amp;humor. Jews don't kill u forcartoon. Inciting hate tho is crime
302	what more hatred u want after abusing n Makin fun of the prophet. These guys who drew created hatred. Not attackers
303	Muslims are being persecuted for their religion? In Pakistan, Nigeria or Paris?
304	I have to say though, the honesty about the murderous tenets of your religion is refreshing.
305	look you fool we are talking revenge. If u abuse any religion . Revenge will be taken that simple
306	thanks tho for being honest about the Islamic excuses for murder
307	BS. NO other religion teaches that it's great to kill everyone else for whatever stupid reason islamics do
308	yes because islam is true religion. They don't take Bullshit from fools like Charlie Have died.
309	well if murder, pedophilia &amp; hate is ur true religion, then u deserve the hatred &amp; offense u get! Done w/u
310	hatred pedophile and disgrace in Judaism . We as Muslims don't accept . What freedom if abuse Islam. Death
311	go away. Sorry excuse for human
312	do you live in an actual tent? And is your name Saladin or something
313	hehe Jews always change subject. If they lose cause of truth. Be serious. How many died under you in israel
314	heh heh Muslims always full of crap. What alternate universe you live in
315	million arabs/Muslims killed by arab/Muslims since . U r offended by eachother
316	“: million arabs/Muslims killed by arab/Muslims since . U r offended by eachother”
317	don't make up stories. That is the way of Jews. Always lying. There is it media . You cannot hide and lie. Killers
318	I feel that the intellectual level of this discourse has kinda gone to hell
319	easy just accept the truth and accept. You see abuse people not religion any where in the world. All religions
320	"lol the true all-embracing, multicultural attitude of ""moderate"" Islam comes out"
321	yeah? I'd like to see you respond this way to anti-Semitic children's programs on Gaza tv
322	you fool . We r not talking of Gaza. Anti semitsm and no laws anti protection of islam
323	why are we not talking of Gaza, ya sidi?
324	freedom of speech protects everyone. Islam just doesn't believe in freedom or democracy. Just death
325	where is Islam protected under freedom of speech. Show me any law. No law. So these guys right to kill
326	civilized countries have civilized laws that protect everyone. Islamics don't get murder &amp; say defense
327	what civilization. If you can abuse a religion and no law to protect any religion. So Muslims are guardians
328	no it's ok to offend everyone else. Precious pedophile needs to be protected
329	pedophiles is accepted in Judaism. Read torah. Who gave these fools right to make fun of Islam
330	but it seems clear that you agree that the legitimate response to the satire was murder.
331	lol moron I'm a rabbinical student. Don't tell me to find non existent things in the Torah
332	it is a disgrace in Judaism. And christianity. It's applauded in Islam. Child rape pretending b marriage
333	come on Rabbis have wives as young as six. Hehehe. What is that not rape and pedophiles
334	I have a lamp that I will sell you. If you rub it long enough a genie will emerge and grant you three wishes
335	hehe u Jews are good by changing subjects.open another topic. We are talking of anti semitsm and anti islam
336	anti semitism results in ppl killing Jews. But Jews don't slaughter anyone for offensive cartoons
337	don't think any1 is having trouble understanding what this is about. Kind if silly to compare this to anti-Semitism
338	free speech. They made fun of everyone! Only islamics kill ppl for a joke. A cartoon. A little offense. No excuse
339	also in the creation of the zionist state it was a norm for jews to dress up as muslims and bomb people
340	go away. It's what arabs do
341	that's the problem. Muslims are serious in their only and one true religion. They won't abuse of jesus moses or mohammed
342	pathetic waste of air. Thanks for showing the excuse for Islamic butchery
343	u heard it from me no muslim unless brainwashed will kill innocent people even if u abuse prophet
344	lots &amp; lots brainwashed then. Seeing ur comments shows how widespread
345	they are discusting animals
346	Muslims feel they r being attacked everywhere not even their religion. These tend to happen. No protection
347	Bcoz they r killing people! Slaughtering. 'In the name of their prophet' no one else is doing that.
348	sorry not in name of Prophet. In the name of God. Ezra to Jews is son of God. Just u guys r idol worship
349	I dont believe in any of them and certainly not worship them
350	yeah i feel really sorry for them
351	its not islamaphobia to call an Islamic terrorist what he is. Muslims r silent &amp; won't stand up
352	islam is not a religion its a brainwashed cult.
353	hehehe yah like Judaism Christianity and worst hinduism. This is what fools in churches call it. Because they are afraid
354	but the priests,rabbis&amp; ministers don't preach(kill all non moooslims) not yet but lets hope we get it on.easy prey.
355	so is free speach
356	settle down just came back from emirates,arabs r just fine its these brainwashed moooslims that r cause
357	disturbing.
358	Also security was abysmal and should have been heightened when so many threats had already happened towards this media agency
359	In France all Jewish official buldings including schools have to be tightly secured. Can't have police everywhere...
360	Hearts and prayers for families of these police and journalists
361	true but when you mock a religion every day - one should heighten security
362	CH mocks all religions. Only one replies with assault rifles. + there were policement there. Killed too.
363	There is no excuse - it is unacceptable always - we know in America how it feels
364	if state cannot control such irresponsible magazines making fun of people's faith then monsters come and do thejob.Face consequences
365	Hey buddy, I'm insulting your faith. Now go fuck yourself.
366	stay stupid and wait be the next victim. such trash like u cannot blame monsters. U deserve be punished by monsters
367	you,baboon, US media rejected to reprint those pictures finding them insulting.So go and fuck yourself u stupid boy
368	Hey buddy, I'm still insulting your faith and there's nothing you can do about it. Now go fuck yourself, loser.
369	Remember background: France, its Parliament &amp; Senate + some left-wgd municipalities bending over backwards to please Palestinians..
370	The Quran calls for the execution of who ever insults their prophet. They are doing what their hateful religion tells them to do.
371	Today we mourn with France but in the weeks to come France needs to do some soul searching and introspection
372	and lots of deportation
373	"Western leaders created terrorists with various Arabic ""springs"" by mercenaries jihadists.It was INEVITABLE to go west."
374	the real problem was letting these moooslims into the free world.ask politicans why we need them .moohammadd bedded MR.ED
375	u imposed dictators stole raw material both in africa and middle east
376	we stole it,ur shieks got all the money &amp; enslaved u &amp; ur women folk attack them u cowards.
377	prophet moohammadd bedded horses,nothing more nothing less
378	Islamic terror. Empowered by media that makes excuses for it. Can't blame the Jews this CNN. THIS is Islam
379	insulting others people faith cannot be called freedom of speech. Chief editor is one to blame. I Do not justify monsters-jail them
380	satire. Get it? Insults r free speech. Cowardice &amp; murder r not. Islamic terror is celebrated by its followers
381	u r not getting my point -monsters must be penalized. But entire society need to be responsible and not provoke monsters
382	infidels that r breathing offends these monsters. Freedom offends them.
383	reason forthis massacre is a concrete action of paper.not general principles of freedom.
384	no it was Islamic teaching that freedom of speech is offensive to Islam, but killing is just dandy
385	u r better eert. I doubt but I am not eert.If so than my question why western govts tolerate all those Muslim groups
386	"Horrible. "": Uber intros surge pricing in downtown Sydney during hostage siege ”"
387	I love the service but this is classless
388	x at $100 min RT : Uber intros surge pricing in downtown Sydney during hostage siege
389	keeping it classy!
390	I hope this is untrue RT Uber intros surge pricing in downtown Sydney during hostage siege
391	don’t they mean “siege pricing”?
392	- well played sir.
393	Good job uber... : Uber intros surge pricing in downtown Sydney during hostage siege ”
394	Even vultures have to eat. RT : Uber intros surge pricing in Sydney during hostage siege
395	Another blow to a terribly-run company. “: Uber intros surge pricing in Sydney during hostage siege ”
396	“: Uber intros surge pricing in downtown Sydney during hostage siege ” Just not right
397	“: Uber intros surge pricing in downtown Sydney during hostage siege ” disgusting
398	surge pricing is automatic based off high demand afaik
399	Oh man. RT Uber intros surge pricing in downtown Sydney during hostage siege
400	Uber strikes again!!!
401	gee, talk about real-time pricing.
402	Way uncool, . RT: Uber intros surge pricing in downtown Sydney during hostage siege
403	They just don't care. I hope you &amp; yours are all safe.
404	Disgusting : Uber intros surge pricing in downtown Sydney during hostage siege ”
405	Uber sux&gt;&gt; “: Uber intros surge pricing in downtown Sydney during hostage siege ”
406	"If only they had the balls to say ""We're sorry"""
407	Fox News will talk about it now
408	And they think we're buying this bullshit!
409	Why should only cops be allowed to have guns again?
410	". ""Kid"". He was just a harmless little baby, just got out of kindergarten..."
411	like me mistakenly calling an year old a kid is worse than the other points?
412	I was like, WTF, you could just wring a little kids neck, no need for a gun. Until we find out the guy is frigging '2
413	It is. I'm calling out this shit media every time now. I had the reaction everyone did when they saw Trayvon's pic.
414	trayvon was when he got killed. Legally a minor.
415	It's abt being fearful something bad could happen to you. A little kid is not reasonable fear. A dude taller than u, yes
416	"call him a big ass kid then. But size or being ""intimidating"" doesn't take away your youth, ineerience, kid status"
417	My grandfather enlisted in WWII when he was . That's not a kid, despite the sissification of this nation.
418	legally speaking , yeah he was.
419	legally speaking it doesn't matter. the question of reasonable fear is at issue + the krauts were definitely afraid of my grandpa.
420	is young in absolute terms, an adult legally speaking. But why pick that out of all that to respond to?
421	". B/c that's the obvious lie. Everything else theoretically could've happened. But '4, pound man is no ""kid""."
422	It's fine if you don't care about this one black kid. But don't you care about due process?!
423	. Why do you start your question with a lie?
424	sorry what now?
425	"I'm sorry ""kid"", I gotz no times for bs. Peace."
426	I think that's all you got time for.
427	is a minor, 's an adult. Being big has no relevance.
428	Yeah, tell that to the pound '4 dude who confronts you versus a pound '2 yr old.
429	all eyewitnesses we've heard from say the cop dragged MB towards his car through his window. The cop initiated.
430	Yes, let's have an investigation. But you think someone can drag that guy anywhere, let alone a window? Nah.
431	just think how this story would be if the cop was black and the vic was white
432	. You wouldn't have heard shit about it.
433	Police Force or Apartheid? Two thirds of ,000 residents are black - Police force black &amp; white policemen
434	Said the typical Libtard.
435	It sounds similar to what the Egyptian police did to Khalid Saeid in !
436	exactly. if the criminal commits strong-arm robbery but has no weapon when he grasps for the officers he should be let go.
437	"all the reactionaries learned this ""strong-arm"" phrase today."
438	"sure. everyone lies but the ""minority"" in these situations."
439	try reading comprehension.
440	"done. i read ""comprehension"". now what, genius?"
441	you don't. I also think you're lying abt your entire online identity.
442	u win. i'm apparently not qualified for hottie of the week anymore. take it back.
443	Shoot unarmed kid. Conceal evidence. Impose martial law. Harass reporters. Smear the victim. Worst. Police. Ever. | MT
444	Or, for all we know, it's standard practice.
445	It's almost like the local cops are pissed it was so calm last night and want to inflame public opinion again
446	compare the pix... store dude in flip-flops. Mike Brown- pix look like running shoes? (need better pix of Mike Brown in street)
447	Here are pi I have.
448	better camera pic. clearly shows flip flops
449	Ok thats good know
450	oh really maybe because it's false flag
451	Time to arrest all the hostage takers relatives !
452	Can you please identify how LONG these have been ON? it is about p in that area. HOW MANY HOURS ON?
453	the st has been on for h30 and the second for hrs
454	Thanks. I think posing these situations in context helps us better understand. We are far away.
455	Of course they are, fear is best sold in bundles!
456	
457	Time to ban religion.
458	knew that an hour ago by the BBC news
459	“: Breaking: Two hostage situations in France are linked, Paris prosecutor says”
460	“: Police stand guard as hostages are held in a cafe in Sydney. Follow AFP's LIVE REPORT: ”
461	Standing guard? Looks like a coffe break.
462	“: Police stand guard as hostages are held in a cafe in Sydney. Follow AFP's LIVE REPORT: ”
463	found similar by here:~ entitled: 'Police raid cannabis crops'
464	prince is god
465	
466	wtf?!?!?!?!
467	: I'm crying as well... Don't you worry!
468	haha!!!! keep your ears open and let me know if you hear anything... i'll do the same!!!
469	: I'm crying purple tears...
470	or maybe he just needs a break from all the shit going on in this world.. I know I do!
471	It is disconcerting that the man with the codes to the worlds largest nuclear arsenal is missing. I suspect an unhappy oligarch.
472	Maybe, just maybe… he's huddling with best minds/top advisors about how to prevent threat of WWIII ?
473	Putin has gone better Behold the Russian secure office Actor portrayed even
474	I'm going with neutralized and their entire gov aQuake &amp; pissing selves w fear. Night of long knives gonna take months
475	now that is better grammar
476	Crazy Jews!
477	
478	"I hope the French get all ""Foreign Legion"" on their ass and put the crosshairs where they should be...."
479	Means RPG.
480	France is paying a big price for been a puppet of Americans
481	"islam is a barbaric heinous ""religion"" I can't recall good thing it has contributed to anyone. It's a violent cult, nothing more."
482	so aljazeera report on rocket launcher then edit link
483	Scary! attackers with AK-47 rifles &amp; reportedly rocket-propelled grenade still at large
